이름,레벨,푼 문제 번호,푼 문제의 레벨,unrated,bronze,silver,gold,platinum,diamond,ruby
최준영,1,"[4862, 13425, 23036, 16928, 14269, 10971, 2873, 17087, 15305, 15894, 1724, 14593, 18442, 2643, 17470, 14736, 2108, 15313, 13304, 13145, 14622, 14550, 3182, 5817, 7600, 25327, 17500, 2843, 16431, 17942, 17355, 3596, 11395, 15824, 17290, 9548, 18511, 2927, 13235, 27527, 20931, 27210, 23820, 27741, 1732, 16900, 14885, 9493, 2471, 19530]","[18, 0, 17, 11, 14, 9, 18, 9, 23, 3, 14, 4, 9, 12, 16, 5, 8, 21, 4, 23, 12, 11, 8, 17, 4, 8, 16, 18, 3, 15, 14, 19, 24, 14, 6, 20, 6, 21, 4, 10, 17, 11, 14, 15, 14, 16, 22, 3, 19, 22]",1.0,8.0,9.0,13.0,12.0,7.0,0.0
김영미,10,"[1650, 2832, 25632, 18379, 11066, 28064, 11655, 11266, 14924, 22859, 11568, 28408, 17087, 2487, 2927, 10610, 27972, 17618, 2805, 28704, 17294, 1584, 25379, 1142, 22341, 1145, 20668, 11915, 16132, 17069, 27968, 7615, 22944, 2727, 2924, 15563, 1339, 1675, 15715, 25216, 25198, 9046, 27380, 26159, 9554, 14846, 25022, 27313, 20442, 9238]","[19, 17, 8, 22, 13, 6, 5, 17, 2, 13, 9, 15, 9, 12, 21, 7, 10, 3, 9, 17, 5, 11, 7, 17, 4, 5, 14, 22, 12, 12, 9, 21, 13, 17, 16, 10, 12, 22, 19, 15, 15, 4, 19, 14, 0, 12, 20, 12, 14, 19]",1.0,7.0,10.0,16.0,11.0,5.0,0.0
최은서,1,"[10838, 1953, 17115, 10984, 12107, 10902, 1536, 2453, 12861, 1482, 20367, 22996, 21323, 14247, 25953, 1898, 7770, 14442, 24481, 3144, 18917, 4015, 13248, 2730, 1146, 17443, 11006, 22974, 4564, 1100, 2835, 1616, 5638, 2819, 24026, 1191, 25559, 15983, 1341, 14650, 10997, 12433, 13975, 3155, 14610, 17392, 1163, 16881, 14724, 10571]","[16, 12, 0, 3, 13, 3, 18, 19, 15, 19, 16, 14, 20, 9, 13, 14, 4, 13, 9, 15, 8, 16, 14, 10, 17, 22, 3, 17, 4, 4, 14, 23, 10, 14, 20, 21, 12, 20, 13, 9, 9, 16, 12, 9, 13, 10, 21, 19, 4, 10]",1.0,7.0,10.0,15.0,13.0,4.0,0.0
이경수,4,"[16674, 15786, 1332, 1772, 23325, 2917, 17384, 1780, 24435, 1586, 1071, 3213, 10941, 1788, 28237, 24444, 24502, 25050, 16955, 5426, 3726, 4005, 16489, 16641, 6569, 3021, 14597, 23833, 27966, 3190, 14382, 17109, 14893, 13700, 1301, 3684, 22946, 2319, 3719, 19292, 17830, 13274, 17104, 2105, 24512, 1627, 16231, 9238, 2533, 13316]","[4, 5, 13, 19, 12, 14, 16, 9, 9, 18, 16, 7, 0, 8, 5, 9, 15, 16, 8, 6, 0, 21, 0, 23, 18, 0, 11, 17, 8, 12, 7, 0, 0, 10, 13, 8, 14, 16, 21, 25, 12, 10, 21, 17, 9, 20, 25, 19, 13, 15]",6.0,3.0,13.0,11.0,11.0,6.0,0.0
김성호,5,"[15896, 14561, 28428, 1968, 1544, 20670, 11582, 20007, 3020, 25395, 25442, 14561, 17213, 15773, 20410, 27532, 14234, 18224, 25387, 9655, 25690, 11877, 12034, 5347, 17961, 10838, 16687, 16967, 2851, 26265, 5180, 27503, 2119, 1355, 2023, 2553, 2043, 20193, 2921, 8905, 2022, 5612, 16397, 5531, 27500, 1073, 11747, 17101, 21973, 27084]","[20, 4, 14, 0, 7, 18, 7, 12, 11, 12, 23, 4, 9, 22, 3, 11, 0, 15, 19, 6, 13, 13, 6, 6, 26, 16, 22, 8, 5, 6, 13, 17, 19, 14, 11, 9, 19, 22, 3, 13, 12, 3, 12, 24, 15, 18, 8, 21, 25, 11]",2.0,6.0,10.0,16.0,8.0,7.0,1.0
송지연,8,"[3356, 24230, 20307, 16193, 2943, 18197, 2242, 14891, 2786, 15502, 17248, 11057, 10539, 9549, 3123, 28698, 5721, 24228, 14595, 2157, 14608, 28287, 1237, 17396, 16973, 12789, 16486, 2370, 15964, 27376, 24431, 13340, 16441, 17303, 27883, 28259, 5389, 11505, 12431, 2240, 2844, 9517, 12882, 3977, 10708, 2816, 12946, 25012, 15669, 15558]","[17, 11, 18, 14, 9, 21, 16, 11, 14, 14, 4, 10, 4, 10, 14, 22, 12, 6, 13, 12, 6, 19, 0, 11, 12, 8, 2, 12, 1, 8, 7, 17, 13, 20, 10, 14, 10, 15, 0, 11, 24, 3, 0, 17, 4, 5, 13, 19, 16, 11]",3.0,7.0,10.0,18.0,9.0,3.0,0.0
박선영,10,"[22350, 23882, 4802, 4344, 2149, 14880, 16166, 14627, 1272, 1479, 24885, 13199, 16478, 12942, 13708, 2657, 24733, 25212, 19548, 8973, 20053, 14703, 2567, 21733, 23811, 16216, 27284, 14442, 23813, 2651, 21739, 10838, 23345, 12437, 12862, 12997, 15873, 17282, 25683, 27916, 5913, 1557, 10892, 2136, 23810, 23799, 22939, 22944, 27304, 2413]","[25, 5, 20, 5, 8, 25, 11, 9, 14, 18, 12, 13, 5, 17, 20, 0, 19, 9, 21, 11, 3, 22, 7, 22, 3, 23, 21, 13, 4, 12, 14, 16, 15, 6, 19, 0, 2, 25, 10, 16, 12, 21, 7, 15, 3, 21, 10, 13, 16, 14]",2.0,8.0,8.0,13.0,9.0,10.0,0.0
이순자,9,"[11877, 9335, 27520, 2173, 14632, 2984, 23892, 26163, 1136, 17674, 27657, 22959, 3065, 3321, 19587, 9500, 25616, 18252, 27441, 23257, 11384, 14275, 17301, 14949, 2167, 24263, 18121, 21565, 5032, 14417, 23085, 23748, 27654, 1397, 13258, 5532, 1466, 1374, 11724, 18130, 2536, 7146, 27991, 1129, 13757, 28455, 21774, 1118, 2591, 12434]","[13, 9, 23, 14, 17, 19, 14, 8, 16, 23, 23, 17, 0, 19, 15, 0, 19, 22, 16, 13, 21, 20, 15, 15, 6, 2, 23, 20, 4, 20, 12, 14, 16, 0, 11, 2, 14, 11, 9, 5, 15, 12, 17, 18, 0, 4, 13, 19, 11, 0]",5.0,5.0,4.0,16.0,14.0,6.0,0.0
박지원,3,"[14269, 2609, 27446, 11501, 14928, 17621, 28444, 25598, 4532, 27886, 2753, 1307, 14930, 21294, 9495, 21312, 1792, 2639, 4276, 17482, 1119, 9375, 10101, 2786, 17402, 9576, 9764, 23034, 26618, 1957, 22857, 16641, 1233, 21919, 18109, 2464, 12944, 22949, 20298, 14205, 26152, 20035, 28100, 1391, 18808, 9081, 3662, 27974, 2866, 17355]","[14, 5, 8, 9, 1, 19, 1, 13, 0, 18, 1, 17, 9, 0, 22, 3, 21, 0, 13, 0, 14, 8, 2, 14, 18, 14, 10, 16, 22, 20, 9, 23, 4, 8, 12, 15, 14, 16, 23, 21, 10, 11, 22, 20, 13, 10, 19, 27, 11, 14]",4.0,7.0,9.0,13.0,9.0,7.0,1.0
장영진,8,"[25210, 10940, 3449, 13165, 24479, 2918, 16236, 15971, 5875, 21398, 15917, 28219, 12951, 3032, 13503, 2834, 26601, 20411, 15351, 5536, 10815, 11811, 25641, 1536, 16198, 8980, 12839, 18936, 2987, 17393, 26170, 24955, 2678, 11140, 2991, 23311, 28111, 4564, 7619, 1598, 11877, 25580, 11689, 10168, 3460, 17392, 2358, 24275, 5372, 17258]","[14, 0, 4, 21, 9, 0, 13, 12, 13, 16, 3, 17, 17, 16, 19, 17, 16, 6, 4, 13, 6, 8, 3, 18, 10, 15, 16, 23, 12, 7, 8, 12, 7, 8, 3, 17, 21, 4, 17, 3, 13, 14, 15, 21, 3, 10, 7, 27, 17, 16]",2.0,8.0,11.0,11.0,13.0,4.0,1.0
장진호,2,"[24907, 17822, 2441, 1926, 18286, 20116, 18442, 16126, 1342, 1018, 22962, 28111, 1182, 28216, 11908, 2259, 15887, 2685, 14631, 17289, 12437, 11557, 1203, 26599, 2457, 10864, 20929, 17409, 3164, 13014, 15486, 24918, 25373, 9067, 4796, 1813, 11309, 20493, 5086, 1182, 20002, 2873, 5546, 25370, 2776, 1712, 10703, 9552, 2760, 24458]","[0, 14, 3, 10, 18, 8, 9, 20, 10, 7, 20, 21, 9, 15, 3, 14, 6, 8, 19, 9, 6, 5, 16, 15, 13, 4, 15, 17, 12, 0, 11, 26, 4, 0, 5, 5, 16, 7, 3, 9, 11, 18, 12, 8, 7, 4, 10, 17, 0, 18]",4.0,9.0,15.0,10.0,10.0,1.0,1.0
김예준,2,"[5647, 23282, 1573, 18196, 3724, 8987, 21607, 2311, 2033, 9054, 3097, 17110, 14281, 14628, 13137, 3165, 2160, 15321, 26070, 25704, 2919, 17393, 15787, 3160, 11285, 28439, 20152, 25910, 15975, 12023, 13261, 14469, 1761, 2089, 14723, 22030, 3998, 7507, 1130, 25953, 25795, 12791, 27116, 20312, 14603, 25340, 2719, 2683, 1206, 13306]","[21, 19, 18, 21, 6, 22, 20, 19, 5, 0, 7, 0, 9, 13, 18, 13, 5, 14, 7, 2, 20, 7, 9, 10, 5, 16, 9, 16, 8, 22, 20, 7, 16, 9, 4, 30, 24, 10, 21, 13, 12, 5, 16, 9, 20, 14, 0, 0, 9, 17]",4.0,6.0,14.0,6.0,13.0,6.0,1.0
엄은주,9,"[1638, 14208, 2359, 28466, 2895, 1857, 25026, 15879, 1199, 24498, 17245, 25552, 3085, 24534, 20493, 16675, 16722, 13430, 1669, 17216, 17073, 10217, 3885, 25582, 25026, 1933, 1524, 23969, 11958, 3878, 25047, 27923, 11046, 14697, 17834, 2921, 24505, 10798, 17408, 14725, 17951, 27889, 1112, 11942, 25178, 10170, 23758, 2517, 10900, 25515]","[19, 16, 17, 11, 0, 21, 18, 21, 17, 7, 9, 12, 9, 19, 7, 4, 12, 16, 11, 10, 11, 16, 10, 17, 18, 15, 5, 5, 20, 19, 13, 12, 16, 4, 15, 3, 17, 5, 18, 13, 12, 1, 14, 1, 6, 1, 10, 17, 25, 12]",1.0,9.0,8.0,13.0,16.0,3.0,0.0
김정남,4,"[26271, 5565, 2101, 25703, 16565, 2375, 9529, 3023, 15484, 2346, 10169, 2933, 2865, 7976, 22861, 22028, 3177, 20949, 20444, 28336, 12894, 23748, 20427, 21398, 15770, 5425, 18115, 9089, 3027, 14179, 6523, 13715, 20124, 11377, 16645, 3000, 25312, 12942, 15905, 1012, 26599, 27893, 2849, 2520, 11726, 11094, 4991, 18795, 17371, 2452]","[22, 3, 0, 3, 14, 14, 19, 5, 18, 8, 22, 15, 7, 15, 15, 24, 16, 6, 11, 18, 18, 14, 22, 16, 14, 15, 8, 0, 22, 21, 14, 21, 4, 18, 23, 11, 10, 17, 6, 9, 15, 13, 20, 4, 8, 4, 15, 4, 15, 20]",2.0,7.0,8.0,15.0,10.0,8.0,0.0
박서준,1,"[18893, 9093, 14581, 1636, 14743, 22963, 1358, 27500, 25955, 12993, 3646, 9023, 3026, 4196, 18138, 1670, 3046, 19089, 1557, 11070, 11280, 15932, 16158, 26658, 1502, 29261, 13274, 9023, 20158, 13265, 23038, 16917, 2864, 12430, 12840, 11660, 18771, 3199, 2141, 14491, 14253, 28302, 2839, 2684, 17382, 1051, 14496, 23834, 26159, 15953]","[27, 5, 1, 12, 14, 14, 7, 15, 7, 8, 0, 14, 20, 17, 17, 13, 2, 29, 21, 5, 17, 0, 14, 17, 17, 17, 10, 14, 15, 11, 7, 4, 4, 17, 3, 10, 21, 9, 12, 4, 0, 20, 7, 5, 28, 8, 9, 18, 14, 3]",3.0,10.0,10.0,12.0,10.0,2.0,3.0
최영호,1,"[2114, 1230, 11140, 26080, 13703, 19649, 19577, 25686, 14205, 14658, 1492, 24551, 26523, 1154, 3169, 5524, 23321, 13539, 10913, 16942, 1940, 9596, 25910, 19649, 25595, 1440, 17501, 1105, 15922, 3187, 5354, 25636, 16201, 13704, 1673, 3655, 23824, 17247, 14164, 13701, 1300, 24524, 21604, 6000, 19700, 16947, 2926, 16403, 21321, 25616]","[0, 15, 8, 18, 11, 18, 16, 14, 21, 13, 19, 13, 9, 16, 22, 2, 5, 25, 15, 13, 7, 16, 16, 18, 5, 4, 14, 10, 11, 10, 3, 13, 15, 20, 4, 11, 21, 5, 20, 12, 15, 11, 5, 18, 15, 13, 0, 16, 16, 19]",2.0,8.0,5.0,17.0,14.0,4.0,0.0
이정식,9,"[19949, 17109, 1609, 9328, 23256, 2035, 5646, 4435, 11571, 2444, 12891, 16217, 28281, 2456, 5022, 3033, 28431, 12910, 29203, 2613, 28420, 26124, 17255, 12743, 1629, 25417, 1030, 1687, 17422, 11650, 27894, 24684, 6444, 6502, 17307, 1230, 14927, 15774, 22026, 26076, 26151, 2114, 20004, 27524, 25617, 9254, 3685, 16131, 1480, 27907]","[9, 0, 17, 15, 12, 13, 19, 3, 11, 3, 9, 21, 2, 5, 15, 18, 2, 8, 22, 14, 10, 11, 12, 16, 10, 11, 13, 13, 16, 6, 17, 22, 18, 4, 13, 15, 17, 24, 14, 16, 18, 0, 7, 18, 24, 0, 22, 7, 15, 6]",3.0,6.0,9.0,15.0,11.0,6.0,0.0
홍은서,7,"[16916, 2848, 5054, 18344, 11577, 26522, 24030, 18190, 9519, 17276, 2060, 23884, 1645, 14505, 17393, 3893, 10171, 16644, 23081, 17105, 13255, 10219, 17216, 20189, 20924, 17423, 1618, 12762, 16136, 11905, 3171, 5719, 18406, 7579, 1235, 25757, 11948, 1240, 17455, 10070, 20934, 1263, 5685, 2495, 14850, 9206, 17622, 17104, 14709, 14601]","[4, 17, 4, 24, 13, 24, 24, 26, 11, 9, 22, 12, 0, 13, 7, 0, 1, 25, 9, 22, 13, 5, 10, 19, 12, 20, 0, 12, 19, 22, 0, 16, 4, 13, 7, 6, 2, 11, 15, 21, 18, 11, 0, 4, 27, 19, 13, 21, 6, 16]",5.0,7.0,7.0,12.0,8.0,9.0,2.0
이영자,2,"[1410, 1695, 9037, 26147, 2887, 12425, 13547, 15822, 24031, 16473, 15549, 27279, 23634, 27653, 29196, 1177, 12854, 24542, 2922, 28131, 26090, 25569, 23080, 20363, 23054, 23806, 22021, 1968, 10163, 9610, 2177, 22945, 10948, 17241, 7894, 14271, 12739, 16853, 10874, 9089, 15720, 16857, 26518, 16954, 2759, 1727, 18310, 12739, 13207, 2031]","[17, 12, 6, 12, 16, 15, 19, 14, 18, 15, 6, 12, 16, 15, 5, 16, 14, 10, 11, 15, 8, 17, 3, 7, 25, 3, 17, 0, 5, 3, 0, 12, 0, 10, 13, 11, 8, 18, 4, 0, 6, 24, 9, 13, 12, 14, 8, 8, 22, 14]",4.0,6.0,11.0,17.0,9.0,3.0,0.0
김예진,5,"[23295, 17204, 13854, 1297, 13446, 17620, 27515, 10068, 25351, 8920, 27520, 26607, 1979, 5979, 4673, 2959, 22859, 16646, 12972, 9935, 5073, 22358, 13423, 3014, 13187, 25685, 4999, 12968, 25969, 10947, 12837, 20207, 24394, 15790, 11047, 16228, 25018, 14247, 18834, 15984, 2251, 10995, 17617, 27657, 1008, 27969, 15999, 5671, 25242, 2221]","[13, 8, 23, 4, 0, 0, 9, 23, 23, 0, 23, 13, 16, 26, 6, 3, 13, 27, 15, 12, 3, 14, 9, 24, 23, 15, 1, 9, 13, 0, 15, 11, 13, 13, 7, 13, 27, 9, 0, 21, 11, 3, 23, 23, 1, 8, 13, 6, 16, 0]",6.0,6.0,9.0,15.0,2.0,9.0,3.0
김서현,1,"[1712, 16403, 28087, 17246, 2093, 19571, 15314, 2402, 18123, 21871, 1659, 1409, 12756, 28129, 7574, 25921, 2617, 1563, 15554, 14708, 2078, 10158, 18134, 9987, 15713, 27381, 25556, 18184, 23318, 12090, 7777, 27085, 1493, 2491, 1082, 11913, 16853, 16924, 22233, 1502, 2740, 11907, 18196, 3649, 1358, 3116, 10872, 15650, 10953, 1398]","[4, 16, 12, 12, 12, 15, 22, 14, 22, 15, 25, 16, 3, 14, 19, 13, 12, 12, 16, 21, 9, 7, 20, 0, 18, 15, 11, 17, 11, 5, 22, 14, 13, 7, 13, 19, 18, 9, 9, 17, 6, 22, 21, 11, 7, 14, 1, 8, 3, 14]",1.0,5.0,8.0,19.0,10.0,7.0,0.0
임아름,10,"[23739, 12748, 16988, 17115, 19621, 17451, 22961, 8972, 3977, 20941, 25178, 14627, 16713, 15882, 9736, 28113, 26124, 4892, 5622, 11277, 1187, 25461, 1129, 2807, 4924, 21925, 18768, 2413, 16510, 27434, 2607, 28273, 2447, 10985, 3645, 10215, 17082, 18112, 16238, 2031, 25604, 16936, 10573, 2828, 4305, 1355, 17423, 27450, 2518, 28329]","[5, 25, 13, 0, 9, 8, 18, 13, 17, 16, 6, 9, 9, 15, 0, 1, 11, 3, 4, 10, 21, 20, 18, 18, 16, 13, 13, 14, 10, 1, 8, 22, 11, 14, 20, 17, 17, 11, 15, 14, 13, 11, 13, 6, 17, 14, 20, 14, 16, 23]",2.0,5.0,9.0,17.0,13.0,4.0,0.0
안준호,3,"[10255, 12090, 28086, 14461, 2996, 23817, 2758, 1417, 20297, 25031, 13178, 26157, 1737, 11504, 17633, 23050, 15945, 2314, 10425, 7626, 28074, 2906, 3086, 2600, 19703, 2258, 1097, 19577, 25585, 5577, 10566, 2610, 19235, 1953, 13259, 2476, 19580, 2199, 4507, 1773, 16645, 27298, 25388, 1186, 1278, 17206, 1547, 25760, 8873, 14285]","[17, 5, 7, 14, 0, 15, 12, 6, 21, 16, 24, 18, 12, 6, 23, 22, 18, 12, 10, 20, 2, 19, 15, 12, 21, 12, 16, 16, 11, 14, 24, 14, 16, 12, 0, 3, 16, 0, 14, 4, 23, 16, 26, 12, 13, 5, 3, 14, 0, 17]",4.0,6.0,4.0,16.0,12.0,7.0,1.0
서정희,3,"[21943, 24235, 20158, 11030, 2468, 1655, 10755, 18126, 13424, 13145, 1630, 15739, 14229, 23292, 24526, 17610, 23301, 1170, 3991, 18231, 25920, 27650, 13180, 1847, 17133, 12174, 21774, 1548, 1526, 12837, 20208, 17823, 1790, 14270, 14554, 2462, 27500, 2751, 27520, 10169, 17392, 2682, 25595, 14557, 22113, 18870, 3190, 11397, 15484, 27959]","[14, 19, 15, 19, 10, 14, 23, 9, 12, 23, 12, 6, 0, 4, 14, 10, 7, 18, 8, 11, 15, 12, 20, 15, 21, 4, 13, 11, 5, 15, 11, 28, 11, 0, 15, 17, 15, 6, 23, 22, 10, 14, 5, 8, 5, 9, 12, 23, 18, 1]",2.0,6.0,10.0,19.0,6.0,6.0,1.0
강준호,8,"[10859, 24530, 17487, 24041, 2423, 4084, 13361, 4233, 9417, 23629, 22987, 4485, 1244, 10847, 28450, 27650, 2429, 22960, 17404, 16948, 1519, 2977, 5988, 13573, 3526, 1822, 19572, 15821, 27511, 13168, 6487, 4821, 27116, 20443, 2632, 16234, 2781, 25705, 2166, 1769, 27173, 16985, 3964, 2415, 2363, 2607, 20654, 25553, 14396, 2850]","[9, 18, 4, 12, 15, 3, 21, 11, 7, 11, 20, 12, 7, 22, 9, 12, 19, 19, 12, 10, 13, 15, 3, 22, 16, 7, 3, 8, 25, 13, 9, 6, 16, 14, 14, 12, 0, 5, 11, 6, 22, 14, 14, 20, 13, 8, 22, 15, 17, 25]",1.0,5.0,11.0,18.0,8.0,7.0,0.0
송현정,2,"[12881, 1355, 19576, 24532, 26607, 1473, 2247, 25704, 14650, 1229, 19567, 2673, 2374, 28065, 16209, 18796, 13303, 27114, 20540, 4179, 6594, 1841, 14852, 13507, 15903, 17941, 24939, 25709, 2468, 1489, 1418, 15943, 13312, 16991, 10161, 9417, 24092, 4716, 19618, 12441, 12984, 19943, 7147, 16503, 26415, 17242, 20416, 12090, 28348, 13905]","[16, 14, 13, 19, 13, 16, 11, 2, 9, 12, 15, 17, 12, 7, 13, 26, 18, 12, 3, 12, 14, 23, 12, 15, 10, 17, 8, 8, 10, 15, 6, 28, 12, 15, 0, 7, 10, 15, 20, 12, 0, 21, 16, 3, 22, 15, 9, 5, 19, 12]",2.0,4.0,10.0,20.0,9.0,3.0,2.0
이종수,3,"[28141, 17937, 18376, 25316, 15907, 2199, 16500, 1528, 8883, 10713, 25019, 15886, 18242, 25046, 4172, 18344, 14555, 23045, 12091, 14866, 21279, 13554, 11059, 12430, 1163, 14289, 12937, 14232, 14924, 2187, 24028, 28698, 14225, 13724, 10828, 23030, 13247, 18344, 1458, 15314, 1766, 3084, 2491, 27382, 15719, 11797, 20362, 1215, 19853, 26153]","[17, 30, 24, 22, 16, 0, 11, 12, 29, 11, 20, 8, 6, 11, 8, 24, 22, 19, 0, 20, 16, 22, 6, 17, 21, 15, 23, 10, 2, 11, 23, 22, 10, 22, 7, 12, 13, 24, 0, 22, 14, 0, 7, 20, 6, 20, 5, 17, 22, 12]",4.0,2.0,9.0,10.0,10.0,13.0,2.0
고상철,4,"[2311, 17258, 28103, 12091, 3025, 17492, 2044, 2874, 28237, 24912, 3108, 10066, 23288, 10562, 14438, 10266, 25334, 25629, 23042, 18861, 17621, 28122, 25324, 2397, 1079, 5874, 10919, 2809, 1720, 13448, 1208, 20410, 1830, 17375, 17425, 7881, 10731, 10803, 19598, 10103, 12883, 27467, 21321, 6101, 11565, 13201, 17271, 2174, 14652, 6321]","[19, 16, 10, 0, 17, 12, 12, 17, 5, 6, 14, 23, 13, 21, 15, 17, 15, 3, 15, 26, 19, 18, 22, 18, 14, 8, 19, 20, 12, 18, 15, 3, 21, 26, 12, 13, 14, 18, 11, 3, 0, 10, 16, 18, 14, 17, 9, 11, 1, 3]",2.0,6.0,5.0,16.0,15.0,4.0,2.0
이진우,9,"[17283, 20531, 21275, 16859, 18169, 2974, 17258, 1206, 17842, 14743, 25712, 2889, 18346, 9281, 5596, 25542, 1651, 25177, 28295, 16137, 1931, 11404, 12957, 22993, 12848, 15551, 15824, 10172, 16960, 2899, 5178, 14429, 2074, 28107, 5582, 24838, 28463, 25795, 23824, 20413, 10699, 16854, 17676, 23050, 9086, 4230, 14944, 16986, 25556, 20158]","[5, 16, 9, 22, 0, 21, 16, 9, 15, 14, 12, 22, 25, 22, 2, 10, 0, 4, 2, 14, 10, 12, 18, 7, 17, 13, 14, 1, 7, 21, 18, 5, 14, 10, 11, 12, 6, 12, 21, 9, 1, 14, 24, 22, 1, 19, 17, 13, 11, 15]",2.0,8.0,9.0,15.0,7.0,9.0,0.0
박시우,5,"[24504, 21730, 17277, 2822, 18804, 16639, 21758, 2429, 1450, 9453, 10918, 18130, 12880, 15788, 18127, 9997, 1335, 17478, 27375, 1651, 1553, 13539, 13342, 14440, 3148, 10806, 28063, 10829, 28135, 18867, 1566, 1335, 17135, 7516, 14246, 2211, 16895, 15898, 22963, 4796, 2315, 11896, 21871, 4198, 20315, 18821, 10756, 23021, 5214, 17180]","[20, 22, 17, 6, 27, 15, 11, 19, 15, 15, 0, 5, 17, 7, 3, 13, 24, 6, 10, 0, 11, 25, 21, 14, 18, 22, 5, 4, 3, 9, 13, 24, 13, 15, 9, 14, 17, 15, 14, 5, 18, 5, 15, 15, 19, 21, 22, 17, 14, 14]",2.0,7.0,6.0,17.0,9.0,8.0,1.0
임옥순,8,"[1212, 23561, 26095, 11652, 26070, 25602, 3495, 8891, 3460, 15737, 27515, 20135, 1981, 1911, 2280, 3360, 2822, 10427, 27171, 14885, 2664, 27510, 2133, 14437, 2877, 17216, 15640, 1148, 13436, 7771, 2686, 2265, 17083, 17255, 16402, 9516, 2845, 2561, 25193, 1489, 6439, 9521, 13272, 11719, 28063, 22943, 24264, 2138, 28065, 25382]","[4, 9, 19, 7, 7, 10, 10, 7, 3, 24, 9, 21, 16, 10, 0, 10, 6, 11, 18, 22, 21, 23, 12, 14, 11, 10, 17, 11, 0, 13, 13, 0, 20, 12, 14, 0, 2, 21, 6, 15, 15, 18, 20, 3, 5, 11, 3, 11, 7, 20]",4.0,6.0,13.0,13.0,8.0,6.0,0.0
이종수,6,"[16122, 28345, 26156, 24970, 25317, 23074, 2498, 27232, 26158, 20008, 11637, 15677, 2061, 12935, 19950, 1603, 9461, 15876, 25567, 25493, 3024, 12902, 20010, 1583, 14249, 10889, 1818, 28688, 11662, 11688, 14657, 10433, 18159, 20559, 2769, 24511, 17950, 24905, 25333, 12793, 6597, 10931, 17100, 3123, 16155, 17419, 2219, 7620, 23720, 19856]","[17, 5, 12, 17, 18, 14, 18, 15, 18, 11, 6, 19, 3, 16, 11, 19, 8, 6, 18, 20, 8, 13, 14, 0, 19, 0, 14, 19, 12, 11, 14, 14, 16, 22, 20, 8, 5, 0, 6, 15, 13, 0, 18, 14, 10, 7, 12, 16, 22, 26]",4.0,3.0,8.0,16.0,16.0,2.0,1.0
최은주,5,"[4016, 2970, 17845, 9505, 13259, 25561, 16878, 12106, 3017, 25019, 1381, 14844, 20927, 5565, 2278, 25391, 11376, 11721, 20194, 28451, 13261, 16474, 3043, 21323, 3691, 9617, 14442, 10736, 2081, 23746, 7983, 17244, 2454, 9525, 17145, 27113, 17134, 2786, 2842, 28098, 10448, 23053, 17073, 5569, 11568, 10478, 20666, 24538, 22858, 24396]","[17, 0, 11, 12, 0, 16, 22, 19, 16, 20, 0, 0, 14, 3, 15, 11, 17, 3, 23, 16, 20, 16, 17, 20, 13, 0, 13, 15, 20, 5, 11, 14, 19, 18, 21, 11, 20, 14, 17, 17, 5, 23, 11, 12, 9, 13, 13, 13, 8, 16]",5.0,4.0,2.0,17.0,18.0,4.0,0.0
이승현,10,"[16197, 1606, 16404, 17084, 18221, 1644, 10723, 9477, 22234, 20938, 16497, 4379, 3119, 23041, 1391, 16456, 9495, 9546, 9765, 26149, 14932, 11407, 7573, 17940, 3623, 2876, 5676, 3724, 4436, 7975, 4493, 25171, 15889, 3711, 22993, 15352, 22943, 23974, 21981, 15308, 2829, 13926, 11958, 2532, 12516, 11046, 28429, 17455, 14895, 11479]","[12, 8, 18, 17, 6, 13, 13, 18, 11, 16, 4, 12, 20, 15, 20, 10, 22, 4, 10, 15, 17, 18, 13, 14, 0, 9, 15, 6, 4, 19, 3, 14, 8, 6, 7, 18, 11, 13, 17, 25, 13, 21, 20, 17, 18, 16, 21, 15, 20, 19]",1.0,4.0,9.0,15.0,17.0,4.0,0.0
김서준,6,"[14417, 1127, 1643, 24498, 15486, 10066, 20426, 20656, 16209, 10014, 4237, 20497, 17411, 26658, 5911, 27941, 4920, 21737, 2781, 1816, 1733, 9095, 21943, 12426, 26609, 28073, 3447, 2639, 11383, 14495, 14879, 11932, 2709, 16687, 9333, 10026, 11002, 3003, 20168, 20672, 5620, 5530, 21297, 2215, 17476, 13032, 24046, 5012, 1793, 14894]","[20, 22, 11, 7, 11, 23, 20, 29, 13, 24, 12, 11, 19, 17, 8, 9, 11, 10, 0, 5, 20, 8, 14, 21, 21, 16, 5, 0, 5, 7, 0, 22, 18, 22, 10, 11, 27, 1, 11, 22, 18, 20, 0, 18, 25, 11, 16, 17, 9, 21]",4.0,4.0,8.0,10.0,12.0,10.0,2.0
김서연,7,"[1199, 10944, 9623, 22963, 17235, 13571, 7040, 2399, 2984, 23843, 27311, 23793, 17614, 1634, 25758, 17453, 18857, 25193, 11281, 13304, 2094, 10709, 2252, 26265, 2090, 19954, 5567, 20846, 3031, 14929, 22969, 13011, 17301, 1593, 1010, 15809, 20299, 16955, 2877, 24905, 14215, 13017, 16681, 27160, 16965, 23085, 14218, 8974, 25924, 7567]","[17, 0, 17, 14, 12, 22, 20, 4, 19, 11, 11, 12, 3, 14, 10, 12, 21, 6, 18, 4, 18, 6, 13, 6, 7, 16, 9, 26, 16, 6, 16, 10, 15, 11, 6, 12, 4, 8, 11, 0, 3, 0, 14, 4, 11, 12, 10, 5, 18, 4]",3.0,8.0,11.0,15.0,10.0,2.0,1.0
